date,open,high,low,close,volume,amount
2009-03-25,7659.8101,7897.48,7539.54,7749.8101,454090000,3501790000000
2009-03-26,7752.3599,7969.0,7709.1899,7924.5601,397260000,3114030000000
2009-03-27,7922.5698,7922.5698,7695.9702,7776.1802,323650000,2533960000000
2009-03-30,7773.3101,7773.3101,7406.8501,7522.02,383260000,2920010000000
2009-03-31,7523.77,7744.2402,7502.98,7608.9199,399840000,3036780000000
2009-04-01,7606.1299,7804.77,7450.7402,7761.6001,361340000,2766350000000
2009-04-02,7763.9902,8129.3301,7763.9902,7978.0801,442820000,3502200000000
2009-04-03,7980.6299,8090.71,7850.3301,8017.5898,308210000,2461000000000
2009-04-06,8016.1602,8037.4199,7830.6602,7975.8501,247400000,1970550000000
2009-04-07,7968.9199,7968.9199,7733.5601,7789.5601,276920000,2178040000000
2009-04-08,7788.6802,7925.3599,7715.0898,7837.1099,255350000,1995960000000
2009-04-09,7839.8901,8150.4399,7839.8901,8083.3799,462060000,3686500000000
2009-04-13,8082.02,8146.8599,7888.96,8057.8101,424250000,3412630000000
2009-04-14,8057.4102,8076.0498,7840.5298,7920.1802,513010000,4090510000000
2009-04-15,7914.9199,8069.9199,7808.1899,8029.6201,413280000,3287920000000
2009-04-16,8029.1401,8201.8096,7933.0801,8125.4302,359470000,2901770000000
2009-04-17,8125.4302,8251.2002,8024.9199,8131.3301,537670000,4372990000000
2009-04-20,8128.9399,8128.9399,7801.5801,7841.73,453660000,3618070000000
2009-04-21,7841.73,8027.54,7699.79,7969.5601,424030000,3343330000000
2009-04-22,7964.7798,8111.02,7802.46,7886.5698,387030000,3073490000000
2009-04-23,7886.8101,8015.3599,7762.7998,7957.0601,327240000,2587000000000
2009-04-24,7957.4502,8182.2998,7905.6001,8076.29,402720000,3234010000000
2009-04-27,8073.8198,8152.27,7920.4199,8025.0,282990000,2276050000000
2009-04-28,8023.5601,8136.7402,7898.75,8016.9502,274710000,2202900000000
2009-04-29,8018.3101,8278.1201,8018.3101,8185.73,300340000,2440300000000
2009-04-30,8188.5098,8383.8096,8083.6201,8168.1201,341400000,2801530000000
2009-05-01,8167.4102,8278.2803,8047.54,8212.4102,237360000,1940750000000
2009-05-04,8213.5996,8488.8701,8213.5996,8426.7402,354490000,2954920000000
2009-05-05,8425.5498,8520.7998,8321.3701,8410.6504,311490000,2622620000000
